front,back,tags
get up,"And very much cheered, he got up, and after eyeing his long, thin associate admiringly, added:""Fine!"" <br><br> An’ then, Monday morning, when we all got back it was nearly four, and I had to get up again at seven. <br><br> At once she felt as though she would like to get up from the table and leave and never return.",theodore-dreiser_an-american-tragedy
come on,"I didn’t want to say anything because he’s just come on, and we don’t know whether he’ll hold out or not. <br><br> And then a youth, working there, but who was now no longer here, had persuaded him to come on to Kansas City. <br><br> We can get Oberwaltzer to set the sentence over until the tenth if we say that she is trying to come on here.",theodore-dreiser_an-american-tragedy
look up,"He was leaning back and looking up at her and Roberta was looking nervously and yet warmly into his eyes. <br><br> ""Here he comes now,""replied the youth, looking up and examining Clyde with keen, gray eyes. <br><br> Her sobs arresting her father’s attention, he at once paused to look up, the meaning of this quite beyond him.",theodore-dreiser_an-american-tragedy
pick up,"Jerry threw a shoe and must have picked up a splinter, but John doesn’t seem to be able to find it. <br><br> So now he sat staring down at the jurors somewhat defiantly, when Mason picked up some pictures. <br><br> ""Well, these are pretty nifty,""she exclaimed, picking up a rather large bouquet of violets and pinning them on.",theodore-dreiser_an-american-tragedy
sit down,"And then, as these two wandered toward a fallen log which here paralleled the stream, she sat down. <br><br> Such being the case, both Belknap and Jephson were once more compelled to sit down and consider. <br><br> ""And so he wants a quiet place where they can sit down in peace and talk, where no one else will see or hear them.""",theodore-dreiser_an-american-tragedy
go up,"But how about the boat now and that bag and his going up to this Finchley girl’s place afterwards? <br><br> And afterwards, in looking over those maps, you saw Grass Lake and Big Bittern and decided to go up that way. <br><br> I’ll go up after a bit if I want to, or maybe home a little early, if you’re going after a while, but not now.",theodore-dreiser_an-american-tragedy
give up,"I would have had to give up my place and gone and found another somewhere before I could let her come. <br><br> If she refused he intended to defy her and leave Lycurgus, if necessary, and give up everything. <br><br> You don’t care for me any more, Clyde, that’s it, and you don’t want to give these other people up for me.",theodore-dreiser_an-american-tragedy
come out,"After an hour, his mother came out, her basket apparently empty, for she held it lightly in her hand. <br><br> He wished intensely that in some way he could make her feel that he was out here, and so cause her to come out. <br><br> Besides, the last time I went down to that joint I had forty bucks when I went in and not a cent when I came out.",theodore-dreiser_an-american-tragedy
come in,"And now I’ll be going, so give me a cheerful smile as I go out - and another one as I come in. <br><br> But now a waiter coming in, Higby began to inquire what everybody wanted. <br><br> Come in here,""she called to her husband,""I want to talk to you a minute.",theodore-dreiser_an-american-tragedy
call up,"The next thing to do is to get Beemis and Webster of Utica - better wire them tonight, eh, or call them up. <br><br> And she had called Keary up and told him that she could not see him tonight - called it all off, as it were. <br><br> And you better call up Mrs. Heit and say ’taint likely I’ll be home for dinner tonight or much before the down train.",theodore-dreiser_an-american-tragedy
come over,"And then noting his glumness, Hortense came over, executing a phase of the""Grizzly""as she did so. <br><br> But I just came over from Amsterdam with Dolge and Eustis to get Constance and Jacqueline. <br><br> Do you suppose if I come back early Christmas afternoon, you will come over here at all?",theodore-dreiser_an-american-tragedy
point out,"I have truly pointed out to you and in all helpfulness the only way - the only way - It is a long lake. <br><br> And unquestionably, as Mason had so shrewdly pointed out at the trial, he might have saved her. <br><br> Arabella Stark pointed him out to me once and then Jill and I saw him passing Stark’s once on a Saturday afternoon.",theodore-dreiser_an-american-tragedy
get out,"I just love to get out in the kitchen like this, but I can only do it when the cook’s out. <br><br> And then we got out the maps again and I asked a fellow at the hotel there if he knew about the lakes up there. <br><br> At Fifteenth and Washington, Clyde exclaimed to Ratterer:""How would it do if we got out at Seventeenth and walked over?""",theodore-dreiser_an-american-tragedy
make up,"I wish you and Dad would make up your minds to build up there now sometime, Mamma. <br><br> To make up for it he decided he might promise to accompany her as far as Fonda on Saturday and give her her present then. <br><br> ""And had you definitely made up your mind by then as to what you wanted to do?""",theodore-dreiser_an-american-tragedy
bring about,"You seem to be oversensitive and nervous and that sometimes brings about delays of this kind - mere nervousness. <br><br> In the blow that had brought about the upsetting of the boat had been some anger. <br><br> She herself is unable to save herself and by her erratic terror, if you draw near her now, may bring about your own death also.",theodore-dreiser_an-american-tragedy
sit up,"He has to sit up and make the jury feel that he, himself, feels that he isn’t guilty whatever they think. <br><br> And Sparser, now sitting up, was pointing to her pretty legs and laughing loudly, showing most of his teeth. <br><br> Wouldn’t you like to sit up and talk to a lawyer fellow who thinks he might be able to do something for you?",theodore-dreiser_an-american-tragedy
go over,"But you know I arranged some time ago to go over to Albany and then up to Saratoga for the holidays. <br><br> And after that he must go over to Schenectady in the morning, sure, to see the druggist over there. <br><br> These details having been settled, Belknap announced that he was going over to the jail to see Clyde.",theodore-dreiser_an-american-tragedy
take out,Didn’t you think of the expense of taking her out in a boat and keeping the boat from noon until night? <br><br> He would take her out in a boat after registering and getting settled and remain too long. <br><br> He took out his watch and discovered with the aid of a match that it was eleven-thirty.,theodore-dreiser_an-american-tragedy
get along,"""Well, how are you getting along down where you are now?""asked Gilbert coldly and inquisitorially. <br><br> Here he was just getting a start, trying to be somebody and get along in the world and have a good time. <br><br> You can’t expect me to get along with just looking at you in the factory, either, can you?",theodore-dreiser_an-american-tragedy
go off,"But what a dog that man was to go off and leave his sister in a big strange city without a dime. <br><br> She went off into more intimate inquiries as to what was done and how, but Clyde could not enlighten her. <br><br> ""He went off and left me in a hotel in Pittsburgh without any money,""she added.",theodore-dreiser_an-american-tragedy
come down,"I’ve asked him to come down here, and the least I can do is to give him an opportunity to better himself. <br><br> Were you wearing one?"" ""No. I was wearing the blue suit I had on when I came down here. <br><br> Den you come down an’ unless dey wants ice-water or somepin, you’re troo, see.",theodore-dreiser_an-american-tragedy
bring up,"But just to be brought up in the country and without any money or clothes or anything - and nobody to show you. <br><br> Well, I’ll be over on that, sure - And, Wallace, I wish you’d write down the names of all present who saw the body brought up. <br><br> It might even bring up some accidental mention of the coat on the part of Clyde to Louise later, which, as she felt, would never do.",theodore-dreiser_an-american-tragedy
make out,"But you can’t leave me to make out any way I can, just the same, because I won’t be left this way, Clyde. <br><br> ""Well, I guess you’ll make out all right,""he ventured to say, since he could not help feeling that she would. <br><br> And yet, if the problem were on this account to be shifted to him, how would he make out?",theodore-dreiser_an-american-tragedy
get in,"She was thinking she would like to get in without her companion, if possible - with her, if need be. <br><br> ""Oh, well, you can’t expect a fellow in my line to get in early always, Ma,""was all Ratterer said. <br><br> I did like Roberta at first, and that’s the truth, and I did get in with her just as those letters show.",theodore-dreiser_an-american-tragedy
turn over,"I might turn over to Washington, but I don’t know whether we’ll save any time by going over there. <br><br> Well, now, after that boat turned over and you both came up, where were you in relation to it ? <br><br> He picked it up and turned it over without being able in any way to fix upon the source.",theodore-dreiser_an-american-tragedy
jump up,"But now, at sight of Titus Alden, he jumped up and preceded the skeleton-like figure into the lean-to. <br><br> When de bell rings, if you’re at de head of de bench, it’s your turn, see, an’ you jump up and go quick. <br><br> ""Also she’s so grateful that in her excitement, or gratitude, she jumps up to come toward him, you see?""",theodore-dreiser_an-american-tragedy
set forth,"It seemed odd, of course, that a girl and a man should arrive at a small lake anywhere, and setting forth in a small boat in broad daylight thus lose their lives. <br><br> And after he had set forth a full picture of his own wayfarings, Ratterer returned with:""Gee, you didn’t know that that little Briggs girl left with a guy from out there for New York right after that, did you? <br><br> And after a first and later a second pleading letter from Mrs. Griffiths, in which, after she had arrived at Denver, she set forth Clyde’s loneliness and need of counsel and aid, the Rev. Duncan setting forth for Auburn.",theodore-dreiser_an-american-tragedy
look out,"That’s something we’ve got to look out for in connection with Mason - whether he knows about that or not. <br><br> He’s hard, but he’s got to look out for hisself, too - dat’s natural. <br><br> In a lower ceilinged and yet ample circular alcove beyond this, looking out on the garden to the south, was a smaller table set for six.",theodore-dreiser_an-american-tragedy
work up,"And yet so wrought up were his thoughts that he scarcely realized then that he had drunk it. <br><br> Anyhow he’s all worked up about it now and wants to see some doctor who could do something for her, you see.",theodore-dreiser_an-american-tragedy
go down,"And then after a while - about ten-thirty - I’ll excuse myself and you can go down with me to your place. <br><br> I wanted dis bunch to bring dere skates and go down dere,""sighed Hegglund,""but dey wouldn’t. <br><br> But just the same, you had another straw hat when you went down through the woods there.",theodore-dreiser_an-american-tragedy
work out,I suppose she had a premonition that all would not work out as she had planned. <br><br> It might not work out right; he might lose his job through a thing like this. <br><br> She wanted to be alone - only to think more - to try to work out a solution.,theodore-dreiser_an-american-tragedy
put down,"She poured the chocolate into a highly ornamented urn and then carried it to the table and put it down before him. <br><br> And a moment later, to his astonishment he saw Esta come to one of their two windows and put a package down on the sill. <br><br> Then handing the Bible to the man, she fell back in line with him, while the twelve-year-old boy put down a small campstool in front of the organ.",theodore-dreiser_an-american-tragedy
get off,"And Clyde added at once:""Let’s get off here, will you - shall we? <br><br> If that doesn’t get him off, or bring about a disagreement, at least we might get him off with, well, say, twenty years, don’t you think? <br><br> I get off at six and I can be over there by then if you can.",theodore-dreiser_an-american-tragedy
show up,"I’ll come around tomorrow night and see how you are, if you don’t show up any time tomorrow. <br><br> Ever since you showed up there, I haven’t been able to sleep, nearly. <br><br> They must be clean and neat about their persons and clothes and show up promptly - on the dot - and in good condition for the work every day.",theodore-dreiser_an-american-tragedy
put on,"But at any rate, I don’t want him sent away yet, anyhow, and I don’t want him put on piece work. <br><br> Well, you had better have John put on some liniment and a bandage and call a veterinary. <br><br> Then, having done so, he called to Clyde to put on""The Love Boat .""",theodore-dreiser_an-american-tragedy
stop in,I was just thinking it’s about time you stopped in and let me show you some of the things I got in since you were here before. <br><br> They may stop in later for a minute.,theodore-dreiser_an-american-tragedy
seek out,"And upon his arrival he was to seek out Mr. Gilbert Griffiths at the office of the mill, who would look after him. <br><br> And then, by the shore of the lake - about a quarter of a mile distant from the house - seeking out a heavy stone and tying the suit to that.",theodore-dreiser_an-american-tragedy
keep up,"And it’s so hard for me to keep up my end and against all of them, too, and with all they have. <br><br> He must not be thinking such horrible, fearful thoughts, or he would not be able to keep up his strength or courage at all. <br><br> Perhaps it would be best to keep that up, otherwise she might become angry or suspicious or stubborn and that would make it hard.",theodore-dreiser_an-american-tragedy
straighten out,"I think I can do something to straighten this out for you before any real public damage is done. <br><br> Would he never be able - quite - to get the whole thing straightened out in his own mind? <br><br> And then slowly rising, going to her and kneeling beside her, straightening her out.",theodore-dreiser_an-american-tragedy
turn on,"An’ if it’s a room you’re showing, pull de shades down tonight and turn on de lights. <br><br> Den all you gotta do is to turn on de lights in de batroom and closet, if dere is one, so dey’ll know where dey are, see. <br><br> On the instant she was on her feet and had turned on the one incandescent globe which dangled from the center of the room.",theodore-dreiser_an-american-tragedy
strike out,"Here a motion to""strike out,""with the result that the last phrase was so ordered stricken out. <br><br> ""I’ll connect it up,""put in Mason, looking up at the judge, who ruled that Titus might answer subject to a motion to strike out his testimony if not""connected up.""",theodore-dreiser_an-american-tragedy
take in,"""Yeh, I guess that’s so,""the other assented, taking in the peculiar cast of the boy’s head and face. <br><br> Hegglund, as he could see, was vain and noisy and foolish - a person who could be taken in and conciliated by a little flattery. <br><br> What was the next step he should take in this pathetic affair?",theodore-dreiser_an-american-tragedy
go through,"She said she couldn’t and wouldn’t go through with it unless I would marry her. <br><br> (He could not, he would not, go through with it.",theodore-dreiser_an-american-tragedy
hold up,"He drew out two and held them up, while he was thinking how to broach the so much more important matter that had brought him here. <br><br> And that boy who had held up the light the better to see his face. <br><br> And she held her small program up to him archly and intriguingly.",theodore-dreiser_an-american-tragedy
stand up,"She, more than any of the others, stood up with an ignorant, yet somehow respectable air of conviction. <br><br> And standing up, his head above the level of the door, he began to look about within the car for something on which to place his foot.",theodore-dreiser_an-american-tragedy
take down,"Mr. Kraut, suppose you take this young man down where those other two boats are and wait there. <br><br> But if you don’t feel well, I wish you would let me get Frank to take you down or go upstairs. <br><br> We take these down in the basement and shrink them because they can’t be used this way.",theodore-dreiser_an-american-tragedy
cut out,"… Now in the jail at Buffalo - though …"" ""Oh, cut it out,""came from another corner. <br><br> The thought in his mind at the moment was that he would like to impress on his uncle that he was cut out for something better. <br><br> And Clyde, nervous and irritated, would retort:""Ah, cut it out, you two.",theodore-dreiser_an-american-tragedy
get down,"""Well, how are you getting along down where you are now?""asked Gilbert coldly and inquisitorially. <br><br> ""And while you were in Utica and Grass Lake and getting down to Sharon afterwards, how much did you spend?"" <br><br> Getting a little more cautious now that we’re getting down to something practical.",theodore-dreiser_an-american-tragedy
take on,"His eyes took on a hurt look and there was a wavering, apologetic, sorrowful smile playing about his lips. <br><br> And this meant, as Roberta saw it, that she was about to take on the appearance of a spinster unless she married soon. <br><br> Gentlemen of the jury,""and here his voice took on an almost reverential tone,""Roberta Alden loved this defendant with all the strength of her soul.",theodore-dreiser_an-american-tragedy
catch up,"It was only a glance, but on the strength of it, he had turned and sought to catch up with her, but upon reaching the spot she was gone. <br><br> And Clyde, hurrying to find Andrew, and thinking of the probable cost of the lunch if he and Sondra were defeated, but being caught up with by Sondra and seized by the arm.",theodore-dreiser_an-american-tragedy
draw up,"Thus, by reason of his athletic body, he was able to draw himself up and out, saying as he did so:""Oh, Jesus, what a finish! <br><br> And he, feeling the extreme importance of looking anything but the way she was describing him now drew himself up as best he could, and replied:""Oh, no.",theodore-dreiser_an-american-tragedy
bring on,"It was not wise for her husband to bring on anyone who was not all of that and more. <br><br> Still,""he added after a moment,""so long as we have seen fit to bring you on here, we have decided to give you a tryout at something better than you are doing.",theodore-dreiser_an-american-tragedy
take off,"""Surest thing you know,""said Higby, who by now had persuaded Tina Kogel to take her hat off and was holding her close. <br><br> And so, to remove all traces, he had taken off his clothes and wrung them out and wrapped them for packing as best he could. <br><br> Suddenly the two girls declaring they must go, they took themselves off.",theodore-dreiser_an-american-tragedy
break up,"I see where dis party breaks up at half-past eight, all right, unless some of de rest of us do someting. <br><br> The party, as is usual whenever the younger group assembles, did not break up until late, the Lycurgus members motoring back just before dawn.",theodore-dreiser_an-american-tragedy
throw down,"Then there, amid a crash of glass and the impacts of their own bodies, the occupants were thrown down in a heap, forward and to the left. <br><br> He threw the paper down, little concerned at first, and turned to other things - the problem that was confronting him really - how he was to do.",theodore-dreiser_an-american-tragedy
step down,"And the chauffeur stepping down and opening the door, Clyde instantly recognized Sondra Finchley leaning forward in the car. <br><br> And Belknap’s pleasant and agreeable manner here in court - his voice - ""I think I will ask the juror to step down"" - as opposed to Mason’s revolver-like""Excused!""",theodore-dreiser_an-american-tragedy
take over,"Well, anyhow, they were giving a dance and they wanted me to take them over because Gil couldn’t go. <br><br> You take people over to that?",theodore-dreiser_an-american-tragedy
cry out,"Should cling to it, cry out, be saved and relate afterward that … <br><br> And waking twice in the night out of dread, destructive dreams - and feeling as though - and fearing - that he had cried out in his sleep.",theodore-dreiser_an-american-tragedy
pass over,"Instantly they all rushed toward the child, who had been thrown under and passed over by the wheels. <br><br> And she, not quite knowing how to pass over the nature of her condition, or to confess it, either, was puzzled what to say. <br><br> And you mustn’t worry about me, dear,""she added, seeing a shadow, not of distrust but worry, passing over her beloved mother’s face.",theodore-dreiser_an-american-tragedy
turn out,"You never can tell in these cases how they’re going to turn out and it’s best to be on the safe side. <br><br> ""Yes, unless you just turn out to be a waiter,""was the way he hit me back. <br><br> For, as it turned out, Dillard was compelled to return to Fonda for some reason and could not fulfill the Sunday understanding.",theodore-dreiser_an-american-tragedy
set up,"""Oh, I don’t know,""she retorted, not a little intrigued by this cash offer, as it were, and at the same time not a little set up in her mood by the fact that she could thus inflame nearly all youths in this way. <br><br> Having crossed the street and reached the first intersection beyond, they paused and looked around as though they had reached their destination - the man putting down his organ which he proceeded to open - setting up, as he did so, a small but adequate music rack. <br><br> And Clyde, noticing this, was quite set up by it, for he could not help but feel that this in itself, and apart from whatever his cousin Gilbert might either think or wish to do, might easily presage some favor on the part of his uncle that might lead to some good for him.",theodore-dreiser_an-american-tragedy
build up,"They’re going to give up the place at Greenwood and build a big handsome bungalow up on Twelfth Lake right away. <br><br> I wish you and Dad would make up your minds to build up there now sometime, Mamma.",theodore-dreiser_an-american-tragedy
put in,"""Oh, how foolish,""put in Hortense Briggs, more to attract attention to herself and take it away from Greta than anything else. <br><br> ""Well, do you recall the cookbook and the salt and pepper shakers and the spoons and knives and so on that she put in her bag?"" <br><br> ""It would put a crimp in the fun around here for a while, anyhow.""",theodore-dreiser_an-american-tragedy
help out,"If you don’t really want me after you have helped me out like I said, you can go. <br><br> ""It’s like this … You see … my husband hasn’t much money … and I have to work to help out with expenses and neither of us make so very much."" <br><br> It might even be that he would help her out for nothing.",theodore-dreiser_an-american-tragedy
run out,"They run a mission of some kind out west - Denver, I believe - and before that in Kansas City. <br><br> He wanted to do something - stop dancing and get her away from Sparser, but there was no use until this particular record ran out. <br><br> And he wanted me to get a bunch to run out to Excelsior Springs.",theodore-dreiser_an-american-tragedy
turn in,"However, at this point, unfortunately, the car turned in before Mrs. Peyton’s door and stopped. <br><br> And to think I turned in here and there you were on the bank, looking at those water lilies. <br><br> And at the head of the table, George Newton, thin and meticulous and curious, his sharp eyes and nose and pointed chin now turned in her direction.",theodore-dreiser_an-american-tragedy
run down,"But supposin’ the next day after you take the coat an automobile runs you down and kills you. <br><br> Maybe we were all to blame for running down that little girl, but we didn’t mean to. <br><br> Want me to get Frank to run you down to the Cranstons’ now?",theodore-dreiser_an-american-tragedy
let off,"""Well, I wasn’t quite so sure whether in case she refused to let me off I could go through with leaving her."" <br><br> And under the circumstances, might he not even consider that sum moderate, seeing that he was being let off so easily? <br><br> I couldn’t get her to say that she would let me off.",theodore-dreiser_an-american-tragedy
stay out,"He explained that he had decided to stay out a little while longer. <br><br> What difference did it make if he stayed out late once in a while? <br><br> A clock somewhere striking two, it suddenly occurred to Rita that she must be going - her parents would object to her staying out so late.",theodore-dreiser_an-american-tragedy
lean over,"And frizzled-haired Dutch Lena now leaned over to say:""I take it and him too, you bet, if you don’t want him. <br><br> And after Clyde had gone away and Roberta was working as before, she leaned over and whispered:""He says she’ll do already."" <br><br> For just as Gilbert was approaching, Lena Schlict, who was working beside her, leaned over to say:""Here comes Mr. Gilbert Griffiths.",theodore-dreiser_an-american-tragedy
blow off,"The wind blew my hat off, and we - she and I - got up at the same time to reach for it and the boat upset - that’s all. <br><br> By admitting that the wind had blown his hat off, Clyde had intimated that he had worn a hat on the lake, but not necessarily the straw hat found on the water.",theodore-dreiser_an-american-tragedy
get on,"They like me all right where I am, but I got to get on in this world. <br><br> She was looking toward him to be sure he was getting on - so like her these days, in her suspicious, doubtful mood in regard to him. <br><br> And although his purse was short, he got on well enough.",theodore-dreiser_an-american-tragedy
carry out,"""And then didn’t you buy that lunch that you carried out in that lake with you up there?"" <br><br> And forthwith the four deputies carried it out.",theodore-dreiser_an-american-tragedy
put off,"But now, poor dear, she has to do a lot of telephoning over Mr. Wilcox’s phone, which we share, in order to put it off until some day next week, if possible. <br><br> He could put her off, he thought. <br><br> And seeing this, she put him off, at times evaded him, compelled him to content himself with little more than the crumbs of her company, while at the same time favoring him with descriptions or pictures of other activities and contacts which made him feel as though he could no longer endure to merely trail her in this fashion.",theodore-dreiser_an-american-tragedy
keep out,"If only there were some way to keep those letters out,""he now turned to Belknap to say. <br><br> It’s got to be kept out, that’s all, and the only way for me to keep it out is for me to stay away from any doctor. <br><br> Only he’s the one that’s always talking about efficiency in every department and cutting and keeping out dead timber.",theodore-dreiser_an-american-tragedy
talk over,"And if you will only stop now and talk it over, you’ll see it in a different light, I’m sure. <br><br> Well, we talked it over, and she thought just as I did, that it might be better that way. <br><br> The fact is, I decided up there last night that this was something I had better talk over with you before I did anything at all.",theodore-dreiser_an-american-tragedy
draw out,"He drew out his watch again and saying,""I’ll have to be going now, though,""moved toward the door. <br><br> He drew out two and held them up, while he was thinking how to broach the so much more important matter that had brought him here. <br><br> The back cushion having fallen out and forward, he got his foot on that and raised himself up to the door level on which he sat and drew out his leg.",theodore-dreiser_an-american-tragedy
lay out,"All right, only don’t think I’m going to lay myself out to be civil to him. <br><br> It was laid out many years ago when Lycurgus was just a village. <br><br> ""To try those courts Harrison laid out up here this morning.""",theodore-dreiser_an-american-tragedy
hang on,"And Hortense, letting go of him at the right moment, seemed to prefer deliberately to hang on to Sparser. <br><br> Close enough to have grabbed her and hung on to her if you had wanted to, weren’t you? <br><br> He hasn’t any money,""he declared finally and very bitterly to his mother,""and he’s hanging on here by the skin of his teeth as it is.",theodore-dreiser_an-american-tragedy
hold out,"I didn’t want to say anything because he’s just come on, and we don’t know whether he’ll hold out or not. <br><br> And then before his uncle could say anything more, although he proceeded to hold out some silver to him, he added:""I believe I’m related to you, Mr. Griffiths.",theodore-dreiser_an-american-tragedy
drag down,"Roberta - her letters - her determination to make him marry her - her giant fear of exposure - had dragged him down to this. <br><br> Besides, the fear of her dragging him down had been no decent fear.",theodore-dreiser_an-american-tragedy
give over,"Some friends of Freddie’s are giving a big affair over in Schenectady New Year’s Eve, though. <br><br> And here he paused to rest and seemed to give himself over to deep and even melancholy thought, while Clyde, heartened by this shrewd and defiant beginning was inclined to take more courage.",theodore-dreiser_an-american-tragedy
stir up,"If you want to stir up a lot of feeling here, go to it, but I’ll lay a bet that’s what it comes to. <br><br> He had stirred up the interest of all of his friends in this and now hated to disappoint them. <br><br> ""Go on, you fellows, stir up a local scrap, will you?""put in Tracy Trumbull.",theodore-dreiser_an-american-tragedy
look down,"Here you are, Freddie,""she called to a tall and slender youth, smooth of cheek and obviously becurled as to hair, who now came over and in his closely-fitting dress coat looked down on Clyde about as a spring rooster might look down on a sparrow. <br><br> And very soon, because of several cordial invitations which were extended to him by Ratterer, he found himself part and parcel of this group - a group which from one point of view - the ideas held by its members, the rather wretched English they spoke - he looked down upon. <br><br> So now to stay himself, he looked down, first at the hands of Belknap and Jephson on the table before him, since each was toying with a pencil poised above the pad of paper before them, as they gazed at Mason and whoever was in the jury box before him - a foolish-looking fat man now.",theodore-dreiser_an-american-tragedy
straighten up,"""Oh, very well, then,""she suddenly decided, and straightening up added:""We can row down to where she is, I guess."" <br><br> At once Clyde straightened up, as though dashed with cold water. <br><br> And straightening up and pulling him by the arm she hurried him back to the house in time to meet Palmer Thurston, who was looking for her.",theodore-dreiser_an-american-tragedy
tie up,"Yet tying up in a single bundle, in order to have them laundered, other odds and ends he had worn that day. <br><br> Just the same, nervously and suspiciously, he now took it out and tied it up, and then waiting and listening for a silent moment in which to slip from the house unobserved - finally ambled out as though going for a short walk.",theodore-dreiser_an-american-tragedy
steal out,"XVII It was quite dark when Roberta stole out on Wednesday night to meet Clyde. <br><br> And then Sondra, the others having gone to bed - or off into the shadow - stealing out for a few last words and kisses under the stars.",theodore-dreiser_an-american-tragedy
lock up,"But, apart from all this and much worse, he was locked up here and they would not let him go. <br><br> And then taking him, along with Burton, the sheriff and his deputies, to Bridgeburg, where he was promptly locked up. <br><br> Come back tomorrow and pay me twenty-five or thirty dollars on account and I take the coat out of the window and lock it up for you.",theodore-dreiser_an-american-tragedy
hang up,"""Just hang up your hat and coat over there in one of those lockers,""he proceeded mildly and ingratiatingly even. <br><br> In slack times all applications were rejected or the sign hung up""No Help Wanted."" <br><br> At five-thirty when the orchestrelle was silenced for lack of customers and a sign reading""Next Concert 7:30""hung up, they were still dancing.",theodore-dreiser_an-american-tragedy
bring down,"Have him see Clyde if he can, also this district attorney, and bring down any news that he can get. <br><br> Then you can take one of those crate trucks back there and go up to the next floor and bring down some webs. <br><br> I’ll just let you bring down webs on the floor above to begin with tomorrow.",theodore-dreiser_an-american-tragedy
put out,"""Where do you get that stuff - ‘put you out’?""replied Ratterer cynically. <br><br> ""If you hadn’t tried that switching stuff we never woulda got put out."" <br><br> He paused in his rowing and put out his hand, then resumed.",theodore-dreiser_an-american-tragedy
turn down,"To think that the doctor had""turned her down,""as he phrased it, and that Short’s advice should have been worth as little as that! <br><br> You know I wouldn’t let anyone but my uncle interfere, but I couldn’t turn them down when they asked me to come there on Christmas Day.",theodore-dreiser_an-american-tragedy
look over,"And with that he once more pressed Clyde’s arm genially and looked him over. <br><br> ""Well, we looked them over and we finally hit on Grass Lake.""",theodore-dreiser_an-american-tragedy
work over,"""You work over at the Green-Davidson, too, don’t you?""she asked. <br><br> You haven’t been working over at the hotel very long, have you?",theodore-dreiser_an-american-tragedy
reach over,"She reached over as if to take the bag from Mary, who as quickly withdrew it. <br><br> And then reaching over and gathering her in his strong arms, he drew her in, dripping and lifeless, while his companions signaled to the other searchers, who came swiftly.",theodore-dreiser_an-american-tragedy
